date,station_name,degrees_from_mean,longitude,latitude,max_temp,min_temp,type
2013-09-11,HARTFORD BRAINARD FLD,20.35,-72.6506,41.7361,34.4,21.7,Strong Hot
2013-07-16,BOISE LUCKY PEAK DAM,6.92,-116.0542,43.5253,37.8,21.1,Weak Hot
2013-10-04,WINTHROP UNIV,7.42,-81.0317,34.9381,30.0,13.9,Weak Hot
2013-11-28,WHITING FLD NAS,-12.15,-87.0167,30.7167,11.1,-3.2,Weak Cold
2013-06-30,TIMPANOGOS CAVE,10.43,-111.7075,40.4447,35.6,20.0,Weak Hot
2013-07-01,SEWARD AP,-4.9,-149.4167,60.1283,11.7,8.9,Weak Cold
2013-05-14,LOGAN UTAH ST UNIV,11.26,-111.8033,41.7456,30.6,13.3,Weak Hot
2013-05-02,SUGARLOAF RSVR,-21.11,-106.3714,39.2494,5.0,-23.9,Weak Cold
2013-03-03,THOMASVILLE,-14.71,-87.7347,31.9172,6.1,-3.3,Weak Cold
2013-07-03,SHREVEPORT,-5.99,-93.8411,32.4506,32.2,16.7,Weak Cold
2013-11-28,ORLANDO INTL AP,-10.47,-81.325,28.4339,19.4,3.9,Weak Cold
2013-05-04,AUSTIN WWT FAC,-20.01,-92.9739,43.6542,0.6,-1.1,Weak Cold
2013-12-10,GRANTS PASS,-23.06,-123.3236,42.4244,-1.1,-13.3,Strong Cold
2013-05-13,CALLAHAN,8.23,-122.8045,41.3111,28.3,11.7,Weak Hot
2013-05-30,HUNTSVILLE INTL AP,6.52,-86.7861,34.6439,30.6,21.1,Weak Hot
2013-11-23,PALMDALE,-11.71,-118.0939,34.5883,7.8,3.3,Weak Cold
2013-11-28,WESTERVILLE,-13.3,-82.9433,40.1264,-1.7,-5.6,Weak Cold
2013-09-25,LOVELOCK DERBY FLD,-14.23,-118.5692,40.0681,14.4,3.3,Weak Cold
2013-10-03,GRAPEVINE DAM,10.84,-97.0553,32.9506,32.2,22.8,Weak Hot
2013-04-11,CANBY,-14.47,-96.2697,44.7183,-0.6,-3.3,Weak Cold
2013-07-23,ABIQUIU DAM,-18.21,-106.4278,36.2403,20.0,7.2,Strong Cold
2013-01-11,ROCKFORD GTR ROCKFORD AP,15.7,-89.0931,42.1928,10.0,4.4,Weak Hot
2013-05-12,HOOD RIVER EXP STN,7.61,-121.5175,45.6847,30.6,14.4,Weak Hot
2013-01-23,RUXTON PARK,10.83,-104.9742,38.8417,12.2,-7.2,Weak Hot
2013-12-07,PARK RAPIDS MUNI AP,-34.54,-95.0678,46.9006,-22.7,-33.8,Strong Cold
2013-10-26,CULLOWHEE,-10.16,-83.1747,35.3117,11.1,-3.9,Weak Cold
2013-12-06,AMISTAD 5 SSW,-21.21,-103.1819,35.8742,-11.1,-17.8,Weak Cold
2013-01-14,MINCHUMINA,17.04,-152.2817,63.9033,-3.9,-8.9,Weak Hot
2013-01-29,LAFAYETTE RGNL AP,13.64,-91.9875,30.205,24.4,19.4,Weak Hot
2013-05-30,INTL FALLS INTL AP,11.46,-93.3981,48.5614,20.6,15.6,Weak Hot
2013-09-03,AZTEC RUINS NM,9.55,-108.0006,36.835,32.8,18.3,Weak Hot
2013-12-31,MANISTIQUE WWTP,-11.32,-86.2514,45.9511,-12.2,-21.7,Weak Cold
2013-07-14,BEAVER CITY,7.88,-99.8278,40.1306,42.2,22.8,Weak Hot
2013-06-13,KOTZEBUE RALPH WEIN AP,12.76,-162.6333,66.8667,23.3,3.9,Weak Hot
2013-02-02,NEW CUMBERLAND L/D,-12.15,-80.6275,40.5261,-7.8,-12.8,Weak Cold
2013-03-04,MADRAS 2 N,-8.0,-121.1461,44.6633,8.3,-8.9,Weak Cold
2013-08-15,WINTHROP 1 WSW,8.02,-120.1886,48.4742,31.7,17.2,Weak Hot
2013-07-27,OSAGE,-8.01,-92.8106,43.2794,21.1,8.9,Weak Cold
2013-03-27,IDABEL,-13.41,-94.8278,33.9336,12.2,-8.3,Weak Cold
2013-05-03,NIXON,-20.35,-97.7675,29.2283,20.6,7.8,Strong Cold
2013-03-15,RUSSELL MUNI AP,16.24,-98.8092,38.8761,29.4,4.4,Weak Hot
2013-05-14,DALE ENTERPRISE,-10.47,-78.9353,38.4547,13.9,-1.1,Weak Cold
2013-03-07,WALSENBURG 1 NW,10.38,-104.7956,37.6303,18.3,7.8,Weak Hot
2013-11-25,LEWISBURG 3 N,-28.6,-80.4042,37.8564,-5.6,-11.7,Strong Cold
2013-04-01,CASTANA EXP FARM,-11.02,-95.8364,42.0633,10.0,-7.8,Weak Cold
2013-12-17,LOS ANGELES DWTN USC CAMPUS,5.08,-118.2353,34.0511,27.8,14.4,Weak Hot
2013-05-03,ALMA DAM 4,-18.92,-91.9194,44.3272,2.2,0.0,Weak Cold
2013-05-20,HOOPESTON,10.86,-87.685,40.4664,30.0,21.7,Weak Hot
2013-04-10,EVANSVILLE REGIONAL AP,12.56,-87.5206,38.0442,28.9,20.0,Weak Hot
2013-09-15,CRESTVIEW BOB SIKES AP,4.35,-86.5225,30.7797,35.6,18.3,Weak Hot
2013-07-12,VALENTINE MILLER FLD,6.97,-100.55,42.8783,36.7,22.8,Weak Hot
2013-04-15,WENATCHEE PANGBORN AP,-8.47,-120.2014,47.3978,8.3,0.0,Weak Cold
2013-09-01,FIVE POINTS 5 SSW,6.19,-120.1561,36.3642,36.7,21.1,Weak Hot
2013-04-16,JACKSON MCKELLAR AP,10.41,-88.9167,35.5931,28.9,20.0,Weak Hot
2013-12-11,LA VERKIN,-11.21,-113.2686,37.2008,0.0,-13.9,Weak Cold
2013-08-08,PRADE RCH,4.41,-99.7908,29.9167,37.8,22.2,Weak Hot
2013-01-29,MORRIS 1 NW,31.62,-88.4336,41.3708,15.6,6.1,Strong Hot
2013-05-03,CALHOUN RSCH STN,-9.03,-92.3486,32.5133,19.4,7.8,Weak Cold
2013-01-14,PERU 2 WSW,30.72,-73.57,44.5658,13.3,1.7,Strong Hot
2013-11-25,HICKORY FAA AP,-23.55,-81.3819,35.7425,2.8,-6.6,Strong Cold
2013-04-20,WOODLAND,7.71,-67.4044,45.1569,22.2,6.7,Weak Hot
2013-09-03,MEXICAN HAT,10.95,-109.8675,37.1497,35.6,23.3,Weak Hot
2013-05-06,PENSACOLA RGNL AP,-8.86,-87.1869,30.4781,22.8,10.0,Weak Cold
2013-12-21,BROWNSVILLE,18.29,-97.4186,25.9156,29.4,22.8,Strong Hot
2013-10-04,LA HARPE,13.32,-90.9686,40.5839,26.1,18.3,Weak Hot
2013-11-25,WAUSEON WTP,-12.36,-84.1453,41.5183,-2.8,-7.8,Weak Cold
2013-07-31,EFFINGHAM 3SW,-9.92,-88.6244,39.1181,21.1,18.3,Weak Cold
2013-01-20,MOORE HAVEN LOCK 1,9.72,-81.0872,26.84,25.6,20.6,Weak Hot
2013-05-17,ABILENE RGNL AP,10.92,-99.6822,32.4106,40.0,22.2,Weak Hot
2013-06-27,MONTEAGLE,4.53,-85.8417,35.2244,28.9,21.1,Weak Hot
2013-09-06,SYRACUSE 1NE,9.25,-101.7417,37.9928,37.8,18.9,Weak Hot
2013-08-16,PLANT CITY,2.56,-82.1422,28.0236,33.9,25.0,Weak Hot
2013-06-30,RED BLUFF MUNI AP,10.4,-122.2536,40.1519,42.8,22.8,Weak Hot
2013-06-06,CHISOS BASIN,5.57,-103.3003,29.2703,35.6,20.0,Weak Hot
2013-12-28,EAGLE,-22.56,-141.2036,64.7856,-23.9,-48.3,Weak Cold
2013-12-16,RED BLUFF MUNI AP,9.36,-122.2536,40.1519,22.2,-2.1,Weak Hot
2013-12-18,BRASSUA DAM,-18.48,-69.812,45.6603,-13.9,-31.1,Weak Cold
2013-04-04,MILLVILLE MUNI AP,-11.55,-75.0667,39.3667,8.9,-6.6,Weak Cold
2013-03-16,TATUM,10.63,-103.3611,33.2422,30.0,2.2,Weak Hot
2013-10-29,CLOQUET,-20.27,-92.5253,46.7047,1.1,-7.8,Strong Cold
2013-10-23,TOLEDO 3N,-14.86,-92.5806,42.0356,2.2,-2.2,Weak Cold
